23/12/15 16:17:55
,Ch,,Vanode(Vout1)
Time (s),I (A),ΔI/I0 (%),Voltage(V)
23.318012237548828,7.0784E-5,-7.24880493852914,0.5000
23.377012252807617,7.2278E-5,-5.291153193919109,0.5000
23.43401336669922,7.1782E-5,-5.9410851069489325,0.5000
23.486011505126953,6.9176E-5,-9.3558351958772,0.5000
23.54001235961914,7.2497E-5,-5.004189710711177,0.5000
23.60601234436035,7.2431E-5,-5.090672509348313,0.5000
23.668014526367188,7.1971E-5,-5.693430253305648,0.5000
23.723012924194336,6.728E-5,-11.840239737830604,0.5000
23.82201385498047,6.6927E-5,-12.30279066481542,0.5000
23.873014450073242,7.42E-5,-2.7726837154062847,0.5000
23.93001365661621,7.4649E-5,-2.184341360219686,0.5000
23.996013641357422,6.9852E-5,-8.470041971472213,0.5000
24.049015045166016,7.2863E-5,-4.524611082440293,0.5000
24.101015090942383,7.3607E-5,-3.549713212895557,0.5000
24.152015686035156,7.3158E-5,-4.138055568082156,0.5000
24.20301628112793,7.2553E-5,-4.930816144587112,0.5000
24.270015716552734,7.1291E-5,-6.584467170715862,0.5000
24.34601593017578,6.7224E-5,-11.913622837941952,0.5000
24.414016723632812,7.4988E-5,-1.7401338247658857,0.5000
24.465017318725586,7.6714E-5,0.5215186383254276,0.5000
24.524017333984375,7.7313E-5,1.306413675322542,0.5000
24.591018676757812,7.0401E-5,-7.7506644950786034,0.5000
24.64301872253418,7.4337E-5,-2.5931682688691193,0.5000
24.697019577026367,7.2724E-5,-4.706748375480072,0.5000
24.764019012451172,7.0541E-5,-7.567221045781158,0.5000
24.83201789855957,7.0539E-5,-7.569842892283772,0.5000
24.897018432617188,7.1077E-5,-6.8648808046609,0.5000
24.949018478393555,7.2903E-5,-4.472193220362575,0.5000
25.00402069091797,7.5411E-5,-1.1858564061387056,0.5000
25.058019638061523,7.3325E-5,-3.9192314919803435,0.5000
25.113019943237305,7.2801E-5,-4.605850188072201,0.5000
25.172019958496094,7.2352E-5,-5.194192543258799,0.5000
25.236021041870117,7.2275E-5,-5.29509073066667,0.5000
25.292020797729492,7.4516E-5,-2.3586131137516233,0.5000
25.345022201538086,7.2108E-5,-5.513914806768483,0.5000
25.39902114868164,6.8903E-5,-9.713559932693864,0.5000
25.455020904541016,7.2391E-5,-5.143090371426029,0.5000
25.52402114868164,7.3169E-5,-4.123640179311419,0.5000
25.57402229309082,7.6753E-5,0.5726208101581965,0.5000
25.634021759033203,6.8994E-5,-9.594318353754975,0.5000
25.689022064208984,7.1234E-5,-6.659156427084875,0.5000
25.744022369384766,6.9413E-5,-9.045284628133023,0.5000
25.80802345275879,7.1034E-5,-6.921217135511615,0.5000
25.869022369384766,6.7045E-5,-12.148168459072165,0.5000
25.924022674560547,6.7004E-5,-12.201892477407549,0.5000
25.976022720336914,6.6404E-5,-12.988103204649612,0.5000
26.033023834228516,7.0698E-5,-7.361496668205135,0.5000
26.087024688720703,6.8502E-5,-10.239006573779571,0.5000
26.137025833129883,7.0078E-5,-8.173906792498773,0.5000
26.189023971557617,7.025E-5,-7.948532867134067,0.5000
26.24202537536621,7.1838E-5,-5.867702006837585,0.5000
26.294025421142578,7.169E-5,-6.061632842145487,0.5000
26.348026275634766,7.1707E-5,-6.039361447854191,0.5000
26.402027130126953,7.1354E-5,-6.501912374839007,0.5000
26.455028533935547,7.1494E-5,-6.3184593915542795,0.5000
26.50702667236328,7.1251E-5,-6.636875498806297,0.5000
26.56102752685547,7.2334E-5,-5.217779627795043,0.5000
26.630027770996094,7.5923E-5,-0.5149592550752513,0.5000
26.690027236938477,7.7952E-5,2.143717040410091,0.5000
26.764028549194336,7.5463E-5,-1.1177169990325864,0.5000
26.821027755737305,7.251E-5,-4.987152475437827,0.5000
26.89002799987793,7.0155E-5,-8.073008605090902,0.5000
